$ kubectl get deploy -n techx-tf4 -o custom-columns=NAME:.metadata.name,DESIRED:.spec.replicas,CURRENT:.status.replicas,AVAILABLE:.status.availableReplicas,UPDATED:.status.updatedReplicas

NAME              DESIRED   CURRENT   AVAILABLE   UPDATED
accounting        1         1         1           1
ad                1         1         1           1
cart              2         2         2           2
checkout          2         2         2           2
currency          2         2         2           2
email             1         1         1           1
flagd             1         1         1           1
fraud-detection   1         1         1           1
frontend          2         2         2           2
frontend-proxy    2         2         2           2
image-provider    1         1         1           1
kafka             1         1         1           1
llm               1         1         1           1
load-generator    1         1         1           1
payment           2         2         2           2
postgresql        1         1         1           1
product-catalog   2         2         2           2
product-reviews   1         1         1           1
quote             2         2         2           2
recommendation    1         1         1           1
shipping          2         2         2           2
valkey-cart       1         1         1           1
